Date,Close/Last,Volume,Open,High,Low,Day
05/19/2021,379.66,1725320,377.151,381.73,376.13,311
05/20/2021,383.58,1427343,379.18,384.5172,378.28,312
05/21/2021,380.72,1706560,385.05,385.3499,380.43,313
05/24/2021,383.45,1657024,384.337,385.76,381.89,314
05/25/2021,385.38,1379749,383.62,385.74,382.03,315
05/26/2021,385.62,1647955,385.86,387.75,385.02,316
05/27/2021,387.5,4452001,385.13,387.7699,383.5,317
05/28/2021,378.27,4682400,384.15,385.31,377.03,318
06/01/2021,378.23,2117770,379.925,380.1985,375.5,319
06/02/2021,380.59,1881042,378.38,381.92,377.71,320
06/03/2021,383.87,1780524,379.64,384.19,378.86,321
06/04/2021,387.52,1765934,384.19,387.76,383.71,322
06/07/2021,380.4,2515804,385.47,386.45,378.57,323
06/08/2021,379.7,1554048,380.41,381.21,377.69,324
06/09/2021,379.96,1399154,380.21,381.78,379.1301,325
06/10/2021,383.01,1404154,380.27,383.36,379.49,326
06/11/2021,381.83,1404299,383.86,383.86,380.53,327
06/14/2021,383.76,1652625,380.79,383.98,379.08,328
06/15/2021,383.91,1252017,383.76,384.4999,381.56,329
06/16/2021,379.41,1801720,384.4,386.4407,377.12,330
06/17/2021,384.75,1686533,380.38,386.47,379.21,331
06/18/2021,380.88,3415714,384.75,384.9056,380.3,332
06/21/2021,386.8,1631569,382.25,387.645,380.56,333
06/22/2021,392.18,1934772,387.02,392.5,386.56,334
06/23/2021,391.97,1538035,393,393.44,390.59,335
06/24/2021,392.07,1487380,393.42,395.5,391.795,336
06/25/2021,394.51,2056384,392.97,394.55,391.25,337
06/28/2021,396.54,1645500,395,397.42,393.13,338
06/29/2021,398.79,1523560,396.3,399.4407,395.47,339
06/30/2021,395.67,2031670,397.97,400.47,395,340
07/01/2021,394.53,1523396,396.3,397.69,393.88,341
07/02/2021,398.94,1677408,396.21,400.77,396.1136,342
07/06/2021,398.86,2113374,399.84,401.4,397.11,343
07/07/2021,404.68,2308605,399.2,406.115,399.2,344
07/08/2021,407.15,2235549,403.5,408.64,403.16,345
07/09/2021,412.37,2304223,408.55,414,407.59,346
07/12/2021,407.88,2491334,414.04,414.35,404.53,347
07/13/2021,407.06,1540373,404.7,409.29,404.7,348
07/14/2021,409.95,1265817,408.58,410.47,407.26,349
07/15/2021,411.82,1894087,410.46,412.2,407.88,350
07/16/2021,410.37,1414087,412.12,413.42,409.765,351
07/19/2021,414.15,2293142,410.0586,415.3171,410.05,352
07/20/2021,416.24,2045376,414,418.07,412.85,353
07/21/2021,415.01,1480316,417.11,417.11,412.22,354
07/22/2021,417.54,1339236,416,418.6,413.5493,355
07/23/2021,423.43,1344487,418.2885,423.9878,417.05,356
07/26/2021,423.23,1220157,423.4,424.4999,420.3477,357
07/27/2021,424.34,1666513,424,424.56,421.6,358
07/28/2021,422.22,1362771,423.27,424.8649,420.54,359
07/29/2021,425.28,1434216,421.68,425.851,420.36,360
07/30/2021,429.72,2284040,425.98,431.5,425.94,361
08/02/2021,428.92,1367176,430.62,430.71,425.48,362
08/03/2021,435.07,1448146,429.92,436.8,429.12,363
08/04/2021,435.04,1280471,436,437.99,432.89,364
08/05/2021,443.19,1742634,437.75,443.5,436.73,365
08/06/2021,439.63,1789843,442.73,443.46,438.9,366
08/09/2021,440.47,1472778,440.65,442.7779,439.31,367
08/10/2021,443.03,1893669,440.66,443.8,440.66,368
08/11/2021,444.3,2267691,445.5,448,441.8,369
08/12/2021,445.36,1230906,443,446.63,442.25,370
08/13/2021,447.82,1309261,445.78,448.36,444.5404,371
08/16/2021,452.86,1515994,447.91,453.19,447.0526,372
08/17/2021,452.34,1936682,452.86,453.78,449.7,373
08/18/2021,446.21,2030106,450.96,455.235,445.9,374
08/19/2021,454.26,1953733,442.95,455.5,441.31,375
08/20/2021,458.99,1911198,455.49,460.62,453.66,376
08/23/2021,454.93,1835928,457.27,459.06,454.59,377
08/24/2021,451.79,1541681,455.25,455.39,450.3,378
08/25/2021,451.23,1520567,450.83,452.82,447.32,379
08/26/2021,449.31,1418645,451.23,452.48,446.7,380
08/27/2021,450.34,1310420,449.31,451.6195,446.8001,381
08/30/2021,455.93,1220030,451.04,456.59,450.4368,382
08/31/2021,455.49,1699018,456.14,456.88,452.44,383
09/01/2021,456.52,1325361,455.48,456.68,451.85,384
09/02/2021,460.97,1455945,459.42,461.44,458.39,385
09/03/2021,462.55,1303809,459,463.6001,459,386
09/07/2021,459.6,1463507,462.5,463.2,457.625,387
09/08/2021,465.7,1372045,459.11,465.83,458.08,388
09/09/2021,465.94,1398718,467.34,469.77,465.24,389
09/10/2021,465.16,1324815,467.17,468.4,463.2,390
09/13/2021,459.66,1679467,467.06,468.235,458.2,391
09/14/2021,458.41,1383887,460.95,462.2,457.42,392
09/15/2021,460.73,1770339,458.24,462.25,456.14,393
09/16/2021,463.31,1577709,460.79,463.77,456.57,394
09/17/2021,459.51,3411408,461.62,462.82,457.02,395
09/20/2021,451.14,2602049,456.632,460.95,446.62,396
09/21/2021,452.11,1531266,451.14,456.8399,450.16,397
09/22/2021,452.33,1380811,454.7,455.35,449.84,398
09/23/2021,452.78,2061230,452.3,455.55,451.1,399
09/24/2021,467.75,3353758,455.98,468.7199,455,400
09/27/2021,460.56,2526024,465.55,470.49,457.24,401
09/28/2021,447.35,2632660,457.14,457.5,445.67,402
09/29/2021,451.79,1921956,449.87,456,448.9,403
09/30/2021,449.35,1837244,453.62,455.36,449.2988,404
10/01/2021,448.33,1860677,449.73,451.08,440.76,405
10/04/2021,440.14,2263953,448.34,449.35,436.1667,406
10/05/2021,446.24,1808749,439.58,449.1091,439.25,407
10/06/2021,449.34,1334571,443.93,449.78,442.38,408
10/07/2021,452.87,1966239,456.47,459.59,452.07,409
10/08/2021,451.85,1545827,455.44,455.75,450,410
10/11/2021,449.7,1011739,450.04,453.69,449.54,411
10/12/2021,446.87,1380868,450.15,452.85,445.75,412
10/13/2021,445.3,1622100,448.54,450.51,444.07,413
10/14/2021,450.66,1481358,447.11,451.6965,446.5,414
10/15/2021,452.39,1494790,453.89,453.94,449.18,415
10/18/2021,461.95,2141552,449.61,462.35,448.5,416
10/19/2021,467.08,1365302,463,467.16,460.31,417
10/20/2021,469.77,1353062,468.52,472.5,467.84,418
10/21/2021,477.23,1423275,469.77,477.65,469.08,419
10/22/2021,481.99,1710335,478.99,485.03,478.565,420
10/25/2021,490.1,1903424,481.99,492.21,479.5,421
10/26/2021,485.53,2378585,482.13,488.25,481.23,422
10/27/2021,489.11,1741794,483.85,491.5,483.56,423
10/28/2021,490.53,1362377,486.96,491.8299,486.48,424
10/29/2021,491.54,2471597,486.78,494.17,486.66,425
11/01/2021,491.87,1548739,494.15,494.8914,487.2,426
11/02/2021,496.99,2012216,494.74,499.49,492.72,427
11/03/2021,502.33,1856258,501.34,502.96,495.75,428
11/04/2021,515.62,2615013,507.01,520.21,506.0101,429
11/05/2021,513.12,2071735,514.77,517.9,508.63,430
11/08/2021,503.81,2834829,513.41,513.41,500.2,431
11/09/2021,508.71,1881803,505.12,509.1,504.06,432
11/10/2021,505.51,1226628,508.26,510.3581,503.765,433
11/11/2021,512.18,1227331,506.2,512.4999,504.04,434
11/12/2021,517.17,1780234,514.25,519.66,513.23,435
11/15/2021,519.89,1392349,518.49,523.1,518.01,436
11/16/2021,526.72,1690708,519.8364,528.2999,517.41,437
11/17/2021,526.29,1609406,527.5,530.74,524.505,438
11/18/2021,529.37,1664995,528.16,530.8,522.4944,439
11/19/2021,533.79,1913681,534.08,535.28,528.01,440
11/22/2021,539.65,2192217,533.32,545.42,532.32,441
11/23/2021,545.26,2147338,537.955,545.82,533.77,442
11/24/2021,549.73,2316441,545.54,550.8338,543.32,443
11/26/2021,546.13,1844761,549.555,554.5499,544.31,444
11/29/2021,554.88,2919138,546.13,560.78,542.41,445
11/30/2021,539.38,4244205,551.002,557.17,535.89,446
12/01/2021,529.84,2882122,543.1,548.25,529.4,447
12/02/2021,525.51,3277509,518.5059,530.9143,514.04,448
12/03/2021,528.93,2984376,529.99,537.5,524.77,449
12/06/2021,533.2,2432878,532.25,536.055,527.5701,450
12/07/2021,542.02,2579798,538.25,543,534.71,451
12/08/2021,530.11,3037531,546.21,547.7892,525.55,452
12/09/2021,524.33,3200453,528.8,532.3299,523.8,453
12/10/2021,558.82,6333637,534.71,561.27,534.61,454
12/13/2021,557.22,3415151,550.44,559.745,547.98,455
12/14/2021,545.34,3494356,556.4615,557.17,537.5676,456
12/15/2021,565.48,2937123,546.21,566.49,545.53,457
12/16/2021,552.63,2683030,564.791,566.55,549.45,458
12/17/2021,547.61,5756845,549.32,556.4699,540.98,459
12/20/2021,548.56,2033574,542.13,549.141,538.03,460
12/21/2021,545.43,2472780,550.5,551.78,536.08,461
12/22/2021,549.67,1454497,545.38,550,539.8,462
12/23/2021,550.37,1758107,551.74,552.61,547.49,463
12/27/2021,563.47,2263508,551.54,565.7393,551.44,464
12/28/2021,564.64,1157520,563.43,566.64,560.7,465
12/29/2021,567.77,1753038,566.4,571.4899,563.5,466
12/30/2021,563.91,1338748,569.53,569.88,562.37,467
12/31/2021,567.7,1509196,563.41,568.25,559.03,468
01/03/2022,566.71,2715113,565.03,567.47,555.51,469
01/04/2022,564.23,2097484,564.23,568.72,561.79,470
01/05/2022,549.92,2887485,563.69,565.05,549.77,471
01/06/2022,549.8,2503087,546.2,553.5172,543.55,472
01/07/2022,536.18,2323920,547.55,548.365,534.24,473
01/10/2022,518.8,4916769,529.29,530.41,508.5,474
01/11/2022,522.03,2457299,518.8,522.47,510.29,475
01/12/2022,525.8,1729540,522.03,530.03,522.01,476
01/13/2022,516.88,2428072,527.64,529.05,515.23,477
01/14/2022,502.99,3872496,511.57,512.98,501.86,478
01/18/2022,488.07,3803545,494.461,495.08,486.86,479
01/19/2022,490.16,2709384,489.885,496.24,487.1,480
