Timestamp,Yes_or_No,Age,Gender,Confidence_Level
4/12/2025 17:59:20,Yes,32,Male,8
4/12/2025 17:59:52,Yes,48,Male,10
4/12/2025 18:00:05,Yes,38,Female,4
4/12/2025 18:00:29,Yes,37,Male,7
4/12/2025 18:00:43,Yes,38,Male,4
4/12/2025 18:01:12,Yes,25,Female,7
4/12/2025 18:01:29,Yes,57,Male,8
4/12/2025 18:01:44,Yes,38,Male,7
4/13/2025 10:01:04,No,16,Male,10
4/13/2025 10:15:24,Yes,18,Female,7
4/13/2025 10:15:40,No,45,Male,10
4/13/2025 10:15:52,No,50,Female,8
4/13/2025 16:52:13,Yes,45,Male,10
4/13/2025 17:00:55,Yes,16,Other,10
